"","Date","M_Variant_M","M_Variant_L","M_Variant_U","A_Variant_M","A_Variant_L","A_Variant_U","O_Variant_M","O_Variant_L","O_Variant_U","Al_Variant_M","Al_Variant_L","Al_Variant_U"
"382",2021-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383",2021-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384",2021-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385",2021-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386",2021-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387",2021-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388",2021-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389",2021-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390",2021-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391",2021-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392",2021-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393",2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394",2021-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395",2021-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396",2021-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
