"","Date","M_Variant_M","M_Variant_L","M_Variant_U","A_Variant_M","A_Variant_L","A_Variant_U","O_Variant_M","O_Variant_L","O_Variant_U","Al_Variant_M","Al_Variant_L","Al_Variant_U"
"89",2020-09-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",2020-09-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",2020-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",2020-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",2020-10-01,NA,NA,NA,475.8387097,24.4073350176343,927.270084382366,475.8387097,24.4073350176343,927.270084382366,NA,NA,NA
"94",2020-10-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",2020-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",2020-10-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",2020-10-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",2020-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",2020-10-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",2020-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",2020-10-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",2020-10-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2020-10-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",2020-10-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",2020-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",2020-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",2020-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",2020-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2020-10-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2020-10-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",2020-10-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",2020-10-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",2020-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",2020-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",2020-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",2020-10-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2020-10-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",2020-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",2020-10-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2020-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",2020-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",2020-10-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",2020-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",2020-11-01,483.485454490909,261.645201027443,835.09005276055,1665.33878769091,1278.46441689904,2027.66314730323,805.809090818182,510.582856985865,1188.71393600602,NA,NA,NA
"125",2020-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",2020-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2020-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",2020-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",2020-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",2020-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",2020-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",2020-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",2020-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",2020-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",2020-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",2020-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",2020-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",2020-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",2020-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",2020-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",2020-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",2020-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",2020-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",2020-11-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",2020-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",2020-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",2020-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",2020-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",2020-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",2020-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",2020-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",2020-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",2020-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",2020-12-01,682.540229885058,439.188219249239,1015.87665285488,1927.1724137931,1562.22845276679,2276.83600291364,642.390804597701,406.915881109855,971.245778620831,240.896551724138,111.737016172921,497.392519823469
"155",2020-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",2020-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",2020-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",2020-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",2020-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",2020-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",2020-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",2020-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",2020-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",2020-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",2020-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",2020-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",2020-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",2020-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",2020-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",2020-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",2020-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",2020-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",2020-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",2020-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",2020-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",2020-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",2020-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",2020-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",2020-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",2020-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",2020-12-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",2020-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",2020-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",2020-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",2021-01-01,188.0967742,74.4478166955463,433.596455988042,1175.60483875,884.665008448417,1425.34131771296,NA,NA,NA,329.16935485,164.498411467369,600.969011713045
"186",2021-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",2021-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",2021-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",2021-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",2021-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",2021-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",2021-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",2021-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",2021-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",2021-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",2021-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",2021-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",2021-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",2021-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",2021-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",2021-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",2021-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",2021-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",2021-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",2021-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",2021-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",2021-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",2021-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",2021-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",2021-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",2021-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",2021-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",2021-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",2021-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",2021-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",2021-02-01,42.1153846153846,18.1622939226766,93.7031109117236,160.038461538462,105.731628321355,232.427216817203,NA,NA,NA,345.346153846154,270.112825806469,423.649996952909
"217",2021-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",2021-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",2021-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",2021-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",2021-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",2021-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",2021-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",2021-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",2021-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",2021-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",2021-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",2021-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",2021-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",2021-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",2021-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",2021-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",2021-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",2021-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",2021-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",2021-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",2021-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",2021-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",2021-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",2021-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",2021-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",2021-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",2021-03-01,13.0601354074074,3.58617688382114,46.822200660278,71.8307447407407,40.4030026708814,125.717363744373,NA,NA,NA,1358.25408237037,1279.40393590415,1419.52329802418
"245",2021-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",2021-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",2021-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",2021-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",2021-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",2021-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",2021-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",2021-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",2021-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",2021-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",2021-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",2021-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",2021-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",2021-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",2021-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",2021-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",2021-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",2021-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",2021-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",2021-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",2021-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",2021-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",2021-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",2021-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",2021-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",2021-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",2021-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",2021-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",2021-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",2021-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",2021-04-01,0,0,12.3693761298515,6.52323232323232,1.79079133717128,23.4584585148371,NA,NA,NA,789.311111111111,742.718340376116,828.115756134719
"276",2021-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",2021-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",2021-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",2021-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",2021-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281",2021-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282",2021-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283",2021-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284",2021-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285",2021-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286",2021-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287",2021-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288",2021-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289",2021-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290",2021-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291",2021-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",2021-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293",2021-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
